code,name
1973,Abarth Abarth 500 '09
1975,Mazda RX500 '70
1984,McLaren McLaren F1 GTR - BMW '95
1985,Pontiac Firebird Trans Am '78
1986,Renault R8 Gordini '66
1987,Renault Megane R.S. Trophy '11
1990,Lamborghini Diablo GT '00
2010,Ferrari 250 GTO '62
2011,Ferrari 500 Mondial Pinin Farina Coupe '54
2017,Ferrari GTO '84
2018,Ferrari 365 GTB4 '71
2026,Toyota Aqua S '11
2049,Bugatti Veyron 16.4 '13
2050,Pagani Huayra '13
2051,Hyundai Genesis Coupe 3.8 '13
2055,AMG Mercedes-Benz AMG VGT
2059,Chevrolet Corvette Stingray Racer Concept '59
2060,Gran Turismo Racing Kart 125 Shifter
2074,BMW M4 '14
2076,AMG Mercedes-Benz AMG VGT Racing Series
2077,Gran Turismo Red Bull X2014 Standard
2078,Gran Turismo Red Bull X2014 Junior
2080,Toyota FT-1
2087,BMW BMW VGT
2095,Mitsubishi Concept XR-PHEV EVOLUTION VGT
2098,Volkswagen GTI Roadster VGT
2099,Subaru VIZIV GT VGT
2101,Toyota TS030 Hybrid '12
2103,Aston Martin DP-100 VGT
2106,Toyota FT-1 VGT
2107,Chaparral Chaparral 2X VGT
2108,Dodge SRT Tomahawk X VGT
2109,MINI MINI Clubman VGT
2110,Dodge SRT Tomahawk GTS-R VGT
2111,Dodge SRT Tomahawk S VGT
2112,Alpine Alpine VGT
2113,Peugeot PEUGEOT VGT
2116,Alpine Alpine VGT Race
2117,Infiniti INFINITI CONCEPT VGT
2118,Mazda LM55 VGT
2119,Italdesign Italdesign VGT Street Mode
2120,Italdesign Italdesign VGT Off-road Mode
2121,Honda Honda Sports VGT
2122,Zagato IsoRivolta Zagato VGT
2123,Lexus LF-LC GT VGT
2124,Volkswagen GTI Supersport VGT
2127,Nissan GT-R LM NISMO '15
2131,Aston Martin V12 Vantage GT3 '12
2134,Bugatti Bugatti VGT
2135,Hyundai HYUNDAI N 2025 VGT
2136,Alfa Romeo 4C '14
2138,Ford Mustang GT '15
2139,Lexus RC F '14
2141,Volkswagen Golf VII GTI '14
2142,Nissan NISSAN CONCEPT 2020 VGT
2143,Audi R8 LMS '15
2144,Toyota S-FR '15
2145,Ford Focus ST '15
2146,Jaguar F-type R '14
2147,Lamborghini Veneno '14
2148,Mazda Roadster S (ND) '15
2149,AMG Mercedes-AMG GT S '15
2150,Mitsubishi Lancer Evolution Final '15
2152,Dodge Charger SRT Hellcat '15
2153,Subaru WRX STI Type S '14
2154,Toyota 86 GT '15
2155,Volkswagen Polo GTI '14
2156,Honda 2&4 powered by RC213V
2157,Aston Martin V8 Vantage Gr.4
2158,Ferrari 458 Italia GT3 '13
2159,Ford Mustang Gr.3
2160,Hyundai Genesis Gr.3
2161,Nissan GT-R Gr.4
2162,Ferrari LaFerrari '13
2163,Hyundai Genesis Gr.4
2164,Ford Mustang Gr.4
2166,Alfa Romeo 4C Gr.4
2167,Nissan GT-R '17
2169,Audi TTS Coupe '14
2170,AMG A 45 AMG '13
2171,Lamborghini Huracan LP 610-4 '15
2172,DS AUTOMOBILES DS 3 Racing '11
2173,Mazda Atenza Sedan XD L Package '15
2174,McLaren 650S '14
2175,Aston Martin V8 Vantage S '15
2176,Peugeot RCZ GT Line '15
2177,Lamborghini Huracan GT3 '15
2178,Toyota S-FR Racing Concept '16
2179,Bugatti Bugatti VGT (Gr.1)
2180,Hyundai HYUNDAI N 2025 VGT (Gr.1)
2181,Mazda LM55 VGT (Gr.1)
2182,McLaren 650S GT3 '15
2183,Chevrolet Corvette C7 Gr.3
2184,Jaguar F-type Gr.3
2185,Mitsubishi Lancer Evolution Final Gr.3
2186,Subaru WRX Gr.3
2187,Toyota FT-1 VGT (Gr.3)
2188,Renault R.S.01 GT3 '16
2190,Citroen GT by Citroen Race Car (Gr.3)
2192,Volkswagen Volkswagen GTI VGT (Gr.3)
3183,Peugeot PEUGEOT VGT (Gr.3)
3185,Alfa Romeo 4C Gr.3
3187,Alpine Alpine VGT '17
3188,Dodge SRT Tomahawk VGT (Gr.1)
3192,AMG SLS AMG Gr.4
3209,BMW M4 Safety Car
3210,AMG Mercedes-AMG GT Safety Car
3214,Honda Civic Type R (FK2) '15
3215,Peugeot 208 GTi by Peugeot Sport '14
3216,Renault R.S.01 '16
3217,Chevrolet Camaro SS '16
3218,BMW M6 GT3 Endurance Model '16
3219,Honda NSX '17
3220,Renault Clio R.S. 220 Trophy '15
3221,BMW M6 GT3 Sprint Model '16
3222,Toyota 86 GRMN '16
3223,Dodge Viper SRT GT3-R '15
3224,AMG Mercedes-AMG GT3 '16
3225,Nissan GT-R Safety Car
3227,Lexus LC500 '17
3228,Lexus RC F GT3 prototype '16
3229,Ford Mustang Gr.B Rally Car
3230,Mitsubishi Lancer Evolution Final Gr.B Rally Car
3231,Volkswagen Scirocco Gr.4
3232,Subaru WRX Gr.B Rally Car
3234,Hyundai Genesis Gr.B Rally Car
3235,Honda NSX Gr.3
3237,Mazda Atenza Gr.3
3238,Peugeot RCZ Gr.3
3239,Honda NSX Gr.B Rally Car
3241,Nissan GT-R Gr.B Rally Car
3242,Peugeot RCZ Gr.B Rally Car
3245,BMW M4 Gr.4
3246,Bugatti Veyron Gr.4
3247,Chevrolet Corvette C7 Gr.4
3248,Citroen GT by Citroen Gr.4
3249,Dodge Viper Gr.4
3251,Honda NSX Gr.4
3252,Jaguar F-type Gr.4
3253,Lamborghini Huracan Gr.4
3254,Lexus RC F Gr.4
3256,Mazda Atenza Gr.4
3257,McLaren 650S Gr.4
3258,Mitsubishi Lancer Evolution Final Gr.4
3259,Peugeot RCZ Gr.4
3260,Renault Megane Gr.4
3261,Subaru WRX Gr.4
3262,Toyota 86 Gr.4
3263,Ferrari 458 Italia Gr.4
3264,Ford Focus Gr.B Rally Car
3265,Toyota 86 Gr.B Rally Car
3266,BMW i3 '15
3267,Ferrari F12berlinetta '12
3268,Porsche 911 GT3 RS (991) '16
3295,Toyota 86 GT 'Limited' '16
3296,Chevrolet Corvette C7 Gr.3 Road Car
3297,Subaru WRX STI Isle of Man '16
3298,Audi TT Cup '16
3299,Alfa Romeo 4C Gr.3 Road Car
3300,Ford Mustang Gr.3 Road Car
3301,Mitsubishi Lancer Evolution Final Gr.B Road Car
3303,Peugeot RCZ Gr.3 Road Car
3304,Subaru WRX Gr.B Road Car
3305,Volkswagen Beetle Gr.3
3306,Mazda Atenza Gr.3 Road Car
3309,Aston Martin Vulcan '16
3310,Porsche Cayman GT4 Clubsport '16
3311,Porsche 911 RSR (991) '17
3312,Toyota TS050 - Hybrid '16
3313,Porsche 919 Hybrid '16
3314,Audi Audi VGT
3315,McLaren McLaren VGT
3316,Daihatsu COPEN RJ VGT
3332,Peugeot L500R HYbrid VGT 2017
3333,Peugeot L750R HYbrid VGT 2017
3334,Audi R18 '16
3335,McLaren McLaren VGT (Gr.1)
3336,Ford F-150 SVT Raptor '11
3337,Alpine A110 '17
3338,Chris Holstrom Concepts CHC 1967 Chevy Nova
3339,Subaru BRZ Drift Car '17
3340,Lexus RC F GT3 '17
3341,De Tomaso Pantera '71
3342,Gran Turismo F1500T-A
3343,Aston Martin DB11 '16
3344,BMW M3 Sport Evolution '89
3345,Nissan GT-R NISMO '17
3346,Eckert's Rod & Custom Mach Forty
3348,Honda NSX CONCEPT-GT '16
3349,Lexus RC F GT500 '16
3350,Nissan GT-R NISMO GT500 '16
3351,Audi Audi e-tron VGT
3352,Toyota GR Supra Racing Concept '18
3353,Renault Clio R.S. 220 Trophy '16
3354,Subaru BRZ S '15
3356,MINI Mini-Cooper 'S' '65
3357,Honda S660 '15
3358,Porsche 911 GT3 (996) '01
3359,Porsche 911 GT3 (997) '09
3360,McLaren McLaren P1 GTR '16
3361,Jaguar E-type Coupe '61
3362,Ferrari F50 '95
3363,Aston Martin DB3S '53
3364,Greddy Greddy Fugu Z
3365,Porsche 356 A/1500 GS GT Carrera Speedster '56
3367,Toyota GR Supra RZ '19
3368,Toyota Tundra TRD Pro '19
3369,Radical SR3 SL '13
3370,Honda Fit Hybrid '14
3371,Super Formula (Dallara) SF19 Super Formula / Toyota '19
3372,Super Formula (Dallara) SF19 Super Formula / Honda '19
3373,Porsche 962 C '88
3374,Gran Turismo Red Bull X2019 Competition
3375,Porsche 356 A/1500 GS Carrera '56
3376,Jaguar D-type '54
3377,Dodge Super Bee '70
3383,Mazda Demio XD Touring '15
3384,Mitsubishi GTO Twin Turbo '91
3385,Porsche 911 Turbo (930) '81
3387,Chevrolet Camaro ZL1 1LE Package '18
3388,AMG 300 SEL 6.8 AMG '71
3389,BMW M3 '03
3390,Porsche Taycan Turbo S '19
3391,Ford Shelby GT350R '16
3392,Lamborghini Aventador LP 750-4 SV '15
3393,Porsche Carrera GT '04
3394,Aston Martin DBR9 GT1 '10
3396,Jaguar Jaguar VGT Coupe
3397,Mercedes-Benz CLK-LM '98
3398,RUF CTR3 '07
3399,Toyota GR Supra Race Car '19
3400,Porsche 911 GT1 Strassenversion '97
3401,Toyota Crown Athlete G '13
3402,Ford Ford GT '17
3403,Volkswagen Golf I GTI '83
3404,Porsche 911 Carrera RS CS (993) '95
3405,Audi R8 LMS Evo '19
3406,Dodge Charger SRT Hellcat Safety Car
3407,Renault Megane R.S. Trophy Safety Car
3408,Toyota Crown Athlete G Safety Car
3409,BAC Mono '16
3410,Porsche 917K '70
